year,poultry,beef,pork
1965,44,74.7,51.5
1966,43.7,78.1,50.3
1967,45.3,79.8,55
1968,44.9,82,56.2
1969,46.8,82.5,54.3
1970,48.2,84.4,55.4
1971,48.5,83.9,60.6
1972,50.4,85.3,54.7
1973,48.2,80.5,48.7
1974,48.4,85.6,52.7
1975,47,88.2,42.9
1976,50.9,94.1,45.1
1977,51.4,91.5,46.7
1978,53.4,87.1,46.5
1979,56.9,77.9,53.2
1980,57.6,76.4,56.8
1981,59.3,77.2,54.2
1982,59.5,76.9,48.6
1983,60,78.5,51.3
1984,61.9,78.3,51
1985,64.1,79,51.5
1986,66,78.7,48.6
1987,71.3,73.7,48.8
1988,72.4,72.5,52.1
1989,74.4,68.9,51.5
1990,78.1,67.5,49.4
1991,80.7,66.4,49.8
1992,84.2,65.9,52.3
1993,86.5,64.4,51.6
1994,87.3,66.1,52.1
1995,86.5,66.4,51.5
1996,87.8,67,48.1
1997,88.6,65.5,47.6
1998,89.5,66.5,51.3
1999,93.9,67.3,52.5
2000,94.7,67.5,50.8
2001,94.6,66,50
2002,98.7,67.5,51.3
2003,99.5,64.8,51.6
2004,101.6,65.9,51
2005,103.1,65.4,49.6
2006,103.8,65.7,49
2007,103,65,50.3
2008,101.4,62.1,48.9
2009,96.9,60.8,49.6
2010,98.8,59.3,47.2
2011,99.3,56.9,45.1
2012,96.7,57.1,45.3
2013,98.2,56,46.3
2014,99.6,53.9,45.3
2015,105.2,53.8,49.2
2016,107.6,56.5,50.1
2017,108.1,58,50.1
